,ID,Strain,Weight,stateord,groupwt,totlen,prem1,posm1,spolen1,Jaw
59,shh_15.0_10_242_DK,DUHi,242,229_0_2_1_1,229,542.0168067,141.5966387,166.3865546,208.8235294,Upper molar
60,shh_14.5_05_199-207_FC,FVB,203,329_0_2_2_1,329,539.9159664,68.06722689,178.9915966,276.4705882,Upper molar
61,shh_14.5_14_190_FZ,FVB,190,229_0_2_1_1,229,535.2941176,175.210084,172.2689076,175.6302521,Upper molar
62,shh_14.5_36_214_FZ,FVB,214,329_0_2_2_1,329,535.2941176,113.0252101,195.3781513,206.7226891,Upper molar
63,shh_14.5_34_209_FZ,FVB,209,329_0_2_2_1,329,534.8739496,118.487395,156.302521,244.9579832,Upper molar
64,shh_15.0_08_294_DK,DUHi,294,329_0_2_2_1,329,534.0336134,97.4789916,202.5210084,196.6386555,Upper molar
65,shh_15.0_01_234_FD,FVB,234,329_0_2_2_1,329,533.2136445,92.45960503,192.9982047,252.2441652,Upper molar
66,shh_16.0_01_455_DO,DUHi,455,329_0_2_2_1,329,527.3109244,180.2521008,207.5630252,205.8823529,Upper molar
67,shh_14.5_28_223_DAF,DUHi,223,216_1_1_1_1,216,526.0504202,268.0672269,118.907563,143.2773109,Upper molar
68,shh_14.5_32_207_FZ,FVB,207,201_0_1_1_1,201,524.3697479,162.605042,195.7983193,180.2521008,Upper molar
69,shh_15.0_02_246_FD,FVB,246,329_0_2_2_1,329,522.3214286,97.32142857,263.3928571,158.9285714,Upper molar
70,shh_15.5_16_427_DN,DUHi,427,329_0_2_2_1,329,518.6629526,122.005571,198.3286908,120.3342618,Upper molar
71,shh_14.5_10_238_DI,DUHi,238,216_1_1_1_1,216,514.7632312,170.4735376,149.3036212,167.1309192,Upper molar
72,shh_14.0_05_220_DE,DUHi,220,216_1_1_1_1,216,513.6490251,174.9303621,150.4178273,158.2172702,Upper molar
73,shh_14.5_04_199-207_FC,FVB,203,329_0_2_2_1,329,512.605042,45.79831933,155.0420168,360.9243697,Upper molar
74,shh_15.0_12_293_DK,DUHi,293,329_0_2_2_1,329,512.605042,119.7478992,151.2605042,197.0588235,Upper molar
75,shh_14.0_11_195_FP,FVB,195,201_0_1_1_1,201,510.782241,247.7801268,141.6490486,185.2008457,Upper molar
76,shh_14.5_06_287_DP,DUHi,287,329_0_2_2_1,329,501.3477089,168.4636119,126.6846361,215.6334232,Upper molar
77,shh_14.5_29_185_FQ,FVB,185,201_0_1_1_1,201,501.2605042,150.4201681,184.4537815,149.5798319,Upper molar
78,shh_14.5_15_209-216_DG,DUHi,212.5,216_1_1_1_1,216,494.1176471,234.4537815,96.21848739,163.4453782,Upper molar
79,shh_15.0_15_285_DK,DUHi,285,329_0_2_2_1,329,493.2773109,267.2268908,132.3529412,173.1092437,Upper molar
80,shh_16.5_01_246_DW,DUHi,246,235_1_2_2_1,235,491.1764706,123.5294118,128.9915966,212.605042,Upper molar
81,shh_14.5_25_236_DAF,DUHi,236,216_1_1_1_1,216,487.8151261,164.7058824,92.85714286,195.3781513,Upper molar
82,shh_15.0_11_262_DK,DUHi,262,329_0_2_2_1,329,487.394958,134.0336134,117.2268908,190.3361345,Upper molar
83,shh_14.5_17_237-241_DH,DUHi,239,229_0_2_1_1,229,463.0252101,201.6806723,109.2436975,170.1680672,Upper molar
84,shh_14.5_16_209-216_DG,DUHi,212.5,216_1_1_1_1,216,446.6386555,215.1260504,97.89915966,170.1680672,Upper molar
85,shh_14.0_05_171-178_FB,FVB,174.5,201_0_1_1_1,201,417.2268908,234.0336134,125.210084,104.6218487,Upper molar
86,shh_15.5_05_483_DM,DUHi,483,329_0_2_2_1,329,347.632312,90.80779944,159.8885794,60.72423398,Upper molar
