"","ID","Strain.x","Age","Weight.x","Clutch","shh_R2_spot","shh_M1_spot","shh_M2_spot","cap_transition","M1_spot_split_LR","shboob","Total_state","stateord","Symmetry","groupwt","nid","Age.dpc.","Date","Strain.y","Weight.y","Litter","Weekday","indata","age","poids","portee","agerel","poidscor","agecor","agepreditsanscor","poidscor2","agecor2","dev01","dev.inf","dev.sup","sd","dev05","dev15","ident"
"26","shh_15.0_21_291_FAC","FVB",15,291,"FAC",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"291FAC",15,"9/3/2015","FVB",291,"FAC",5,TRUE,15,5.67332326717149,"FAC",0,5.62767859983431,15.1254264952682,15.2241433532937,5.6536960602165,15.1816951043427,15.2009775476954,14.7951431875957,15.602631633624,"001",15.2112515166667,15.1355030364412,232
"27","shh_16.0_07_452_DO","DUHi",16,452,"DO",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"452DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","shh_13.5_06_109_I","FVB",13.5,109,"FI",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"109FI",13.5,"10/17/2014","FVB",109,"FI",6,TRUE,13.5,4.69134788222914,"FI",-1.5,4.85891797127139,13.462808751452,13.100400749503,4.76340302051731,13.2562361903411,13.1760832646118,12.7212319257584,13.5925675801828,"001",13.1157982047798,13.4272197027412,375
"29","shh_14.5_02_193-197_C","FVB",14.5,195,"FC",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","-",211,"195FC",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","shh_15.0_02_265_K","DUHi",15,265,"DK",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","y",331,"265DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","shh_14.5_10_263_I","DUHi",14.5,263,"DI",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"263DI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","shh_14.5_08_247_I","DUHi",14.5,247,"DI",0,2,0,1,0,1,"0_2_1_1","235_0_2_1_1","-",235,"247DI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","shh_16.0_04_424_O","DUHi",16,424,"DO",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"424DO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","shh_15.0_03_294_K","DUHi",15,294,"DK",0,2,0,2,0,1,"0_2_2_1","331_0_2_2_1","-",331,"294DK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","shh_15.5_08_363_V","DUHi",15.5,363,"DV",0,2,0,2,1,1,"0_2_2_1","331_0_2_2_1","-",331,"363DV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","shh_13.0_03_86_FX","FVB",13,86,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"86FX",13,"5/12/2015","FVB",86,"FX",3,TRUE,13,4.45434729625351,"FX",-2,4.52964049175233,12.7506721516486,12.5878336838944,4.486723370318,12.6578542250287,12.6150774903372,12.1452840604176,13.0526051620279,"001",12.5883069395948,12.7399317648973,2
"37","shh_14.5_09_238_I","DUHi",14.5,238,"DI",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","y",211,"238DI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","shh_14.0_05_117_R","DUHi",14,117,"DR",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"117DR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","shh_14.0_04_220_E","DUHi",15,220,"DE",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","Y",211,"220DE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","shh_14.5_12_196-199_H","DUHi",14.5,197.5,"DH",1,0,0,0,0,1,"1_0_0_1","168_1_0_0_1","-",168,"197.5DH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","shh_13.0_05_91_FX","FVB",13,91,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"91FX",13,"5/12/2015","FVB",91,"FX",3,TRUE,13,4.51085950651685,"FX",-2,4.58615270201567,12.8728925152249,12.7100540474707,4.54323558058134,12.780074588605,12.7374775377064,12.2766530900248,13.16835900255,"001",12.7106665695135,12.8619537377647,5
"42","shh_14.5_34_209_FZ","FVB",14.5,209,"FZ",0,1,0,1,0,1,"0_1_1_1","211_0_1_1_1","-",211,"209FZ",14.5,"5/13/2015","FVB",209,"FZ",4,TRUE,14.5,5.34233425196481,"FZ",-0.5,5.36251415731255,14.5519487561832,14.5083051726631,5.35101161126434,14.5270719135768,14.5284380524311,14.1142432520977,14.9235073617606,"001",14.5030209894727,14.5454183969526,212
"43","shh_13.0_06_102_FX","FVB",13,102,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","y",97,"102FX",13,"5/12/2015","FVB",102,"FX",3,TRUE,13,4.62497281328427,"FX",-2,4.70026600878309,13.1196882037499,12.9568497359957,4.65734888734876,13.02687027713,12.9846870219465,12.5392333161127,13.4061546759927,"001",12.9574692954757,13.1085593474417,7
"44","shh_13.0_07_108_FX","FVB",13,108,"FX",0,0,0,0,0,0,"0_0_0_0","097_0_0_0_0","-",97,"108FX",13,"5/12/2015","FVB",108,"FX",3,TRUE,13,4.68213122712422,"FX",-2,4.75742442262304,13.2433061278836,13.0804676601294,4.71450730118871,13.1504882012637,13.1088896440573,12.6699210585222,13.5273992855516,"001",13.0814671711787,13.2321870091925,9
