	ID	Strain	Age	Weight	Clutch	shh_R2_spot	shh_M1_spot	shh_M2_spot	cap_transition	M1_spot_split_LR	shboob	Total_state	stateord	Symmetry	groupwt
150	shh_13.0_01_202-209_C	CD1	13.0	205.5	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
151	shh_13.5_05_67_DQ	DUHi	13.5	67	DQ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
152	shh_13.5_11-210-214_C	CD1	13.5	212	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
153	shh_13.0_02_202-209_C	CD1	13.0	205.5	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
154	shh_13.5_08_111_DC	DUHi	13.5	111	DC	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
155	shh_13.5_12_210-214_C	CD1	13.5	212	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
156	shh_13.5_25_195-199_C	CD1	13.5	197.5	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
157	shh_14.0_06_214-219	CD1	14.0	216.5	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	Y	199
158	shh_14.0_10_159_FJ	FVB	14.0	159	FJ	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
159	shh_14.5_11_163_FR	FVB	14.5	163	FR	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
160	shh_14.0_05_171-178_FB	FVB	14.0	174.5	FB	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	Y	199
161	shh_14.0_02_203-208_C	CD1	14.0	205.5	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
162	shh_14.0_03_203-208_C	CD1	14.0	205.5	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	Y	199
163	shh_13.5_09_99_DZ	DUHi	13.5	99	DZ	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
164	shh_13.5_08_221-224_C	CD1	13.5	222.5	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
165	shh_14.0_12_91_DU	DUHi	14.0	91	DU	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
166	shh_14.0_18_94_DU	DUHi	14.0	94	DU	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	-	97
167	shh_14.0_20_142_DU	DUHi	14.0	142	DU	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
168	shh_13.5_07_88_FK	FVB	13.5	88	FK	0	0	0	0	0	0	0_0_0_0	097_0_0_0_0	Y	97
169	shh_13.5_07_210-214_C	CD1	13.5	212	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
170	shh_14.0_04_203-208_C	CD1	14.0	205.5	C	0	1	0	1	0	1	0_1_1_1	199_0_1_1_1	-	199
171	shh_13.5_09_170-176_C	CD1	13.5	173	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
172	shh_13.5_27_186-189_C	CD1	13.5	187.5	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
173	shh_13.5_28_186-189_C	CD1	13.5	187.5	C	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
174	shh_14.5_05_187_DP	DUHi	14.5	187	DP	1	0	0	0	0	1	1_0_0_1	179_1_0_0_1	Y	179
175	shh_13.5_03_143_FA	FVB	13.5	143	FA	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	-	162
176	shh_14.0_01_163-167_FB	FVB	14.0	165	FB	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
177	shh_14.0_02_171-178_FB	FVB	14.0	174.5	FB	0	0	0	0	0	1	0_0_0_1	162_0_0_0_1	Y	162
